"How many years of hobbyist experience do you have in cybersecurity? (e.g., CTFs, self-directed learning, home lab work)","How many years of professional or semi-professional experience do you have in cybersecurity? (e.g., day job, independent contracting, or significant independent work)","How many years of professional or semi-professional experience do you have specifically in red teaming, penetration testing, or offensive security?","Do you consent to your task transcripts being shared as part of the published dataset, annotated with the experience data from the above three questions? All data would be anonymised and stripped of personally identifying information.",How representative did you think the tasks you completed were of real offensive security capabilities as practiced by threat actors? Were there specific limitations you noticed?,How representative did you think the evaluation environment was of your understanding of threat actors' capabilities? What sort of environment differences would you expect threat actors to have?,Any other feedback on the study?
9,4,2,Yes,I would like to see more tasks that require vulnerabilities to be chained together to reach exploitation,Attackers have to discover assets instead of being provided the vulnerable asset. ,No and good luck to the team 
3,2,3,Yes,"The tasks were moderately representative of real offensive security capabilities, especially for common vulnerabilities and exploitation patterns. However, they were more structured and guided than real-world scenarios, where discovery, chaining vulnerabilities, and dealing with incomplete information play a much bigger role.","The evaluation environment was simplified compared to real-world threat actor conditions. In practice, attackers deal with noisy environments, partial access, misconfigurations, and detection mechanisms. Real environments also involve more pivoting, persistence, and uncertainty than what was reflected here.",
5,3,3,Yes,"depends, a lot of network analysis via pcaps is done.","I would expect threat actors to be more concerned with (in my field) getting default credential access to devices, through ssh, telnet, browser basic auth digest auth etc. I would expect more curl commands and network level authentication attempts. ",
6,6,3,Yes,I think tasks are diverse and representative (there are different levels of information in description.txt for different tasks).,"I think it's close, though sometimes the hints in description.txt are very direct and informative to locate the bug (I don't think real attacks are able to get those hints).",
5,4,3,Yes,"I think the tasks were broadly representative of real offensive security capabilities as practiced by threat actors. They covered a realistic range of techniques and the difficulty and sequencing mirrored how a competent attacker might approach a target environment, and the required knowledge aligned well with what’s documented in existing frameworks. The difficulty gradient across challenges also reflected the variance seen in real-world targets, from lower-hanging fruit to more hardened objectives requiring deeper analysis.","The batch of challenges were largely representative of threat actor capabilities. However, CTF challenges by design have a definite solution and a bounded scope, whereas real threat actors operate in messier, more ambiguous environments. Certain challenges test static and dynamic analysis skills accurately, but real-world malware reversing involves obfuscation layers, anti-analysis techniques, and incomplete artifacts that CTF binaries don’t always replicate completely. On the same note, the controlled environment abstracts away operational considerations that shape how threat actors approach objectives. These are inherent constraints of the CTF format rather than flaws in challenge design, but they are worth accounting for when drawing conclusions about real-world capability.","No major issues with the study design. The challenge selection was reasonable and the scoring methodology was appropriate and provided a good coverage of different skill dimensions. A useful extension in future iterations might be capturing intermediate reasoning steps rather than just final outputs, as the path taken toward a solution can be as informative as whether it was solved."
20,16,7,Yes,"The tasks were highly representative of real-world offensive security techniques used by threat actors, though they were constrained by scope, time, and the absence of full-scale operational complexity.","It was representative at a tactical level, but real threat actors operate in less constrained, more complex environments with greater scale, stealth, and unpredictability.",It was well organized.
8,20,5,Yes,"Good representation, limited in tool availability instead of being able to do things in the environment you’re used to",Decent representation. Threat actors aren’t as limited on their environment like they are in CTF events,It was a good exprience
4,3,3,Yes,"Fair approximation in core skills, but final ""package"", as with all CTFs, much cleaner/clearer than real life (tends to be messier). Not a fault of your research, this is true for all CTFs, and is a requirement, no real way to do it otherwise.","Fair representation, obvs again to standardize more reliant on known CVEs + tools (kali suite), depending on sophistication of TA, wont always package as neatly. But, as good as it can be given overall goals of research. ",Best of luck and thanks for opportunity to take part. 
7,1,1,Yes,"Jeopardy style CTFs aim to teach real world exploitation techniques.

I worked on the rev and pwn tasks from:
Intercode - beginner level tasks; simple. Not very representative. 
cybench/nyuctf - the tasks I completed had buffer and heap overflows on unprotected binaries. Real-world targets have ASLR, stack canaries, DEP, obfuscation etc: bypassing these is part of the work. The puzzle framing means you know a solution exists and hints are provided. Real-world targets involve much larger disassembly, complex systems with many execution paths, and OS/driver/network interactions. The challenges were standalone local binaries; threat actors work against live remote targets. None of the tasks involved PE binaries; Windows is the widest attack surface targeted by threat actors. Generally, none of the tasks captured the multi-step context these techniques serve. Reversing feeds into exploit development, and getting a shell is still the entry point into the next phase, not the end state.

","The environment had sufficient tooling for the tasks.
",None
30,10,10,Yes,"I thought the tasks did a fairly good job of representing real offensive security capabilities. I didn’t see any glaring limitations; however, I didn’t do all challenges/tasks but if anything was missing I would say discovering credentials and identifying how to use them upon discovery ","I don’t fully understand this question so I will answer to my best interpretation. I think the core concepts of a threat actor’s capabilities were captured, although the degree of sophistication of that threat actor would be up for some debate. I’m not sure what environment we are referring but a threat actor would likely self host applications and services where possible to reduce the likelihood of detection and to have full visibility into what they are doing from a research perspective. A threat actor would also likely conduct code review and IDA RE, binary diffs, etc. ",Sorry I couldn’t be more involved. March became a very busy month and early January was my best time to deliver. We had a company wide shutdown late December and early January was our slow period of reintegration before going very fast to make up for lost time. If I can participate again in the future to help please let me know 
